BBB,borough_code,block_number,lot_number,tax_year,owner_name,property_address,granted_reduction_amount,tax_class_code,BBB_test
1-7-29,1,7,29,2017,SONS OF THE REVOLUTIO,26 WATER STREET,34950.0,4,1-7-29
1-7-29,1,7,29,2018,SONS OF THE REVOLUTIO,26 WATER STREET,23300.0,4,1-7-29
1-7-30,1,7,30,2017,SONS OF THE REVOLUTIO,24 WATER STREET,55550.0,4,1-7-30
1-7-30,1,7,30,2018,SONS OF THE REVOLUTIO,24 WATER STREET,36850.0,4,1-7-30
1-7-31,1,7,31,2017,FASHION MANAGMENT COR,105 BROAD STREET,59450.0,4,1-7-31
1-7-33,1,7,33,2017,SONS OF THE REVOLUTIO,101 BROAD STREET,77250.0,4,1-7-33
1-7-33,1,7,33,2018,SONS OF THE REVOLUTIO,101 BROAD STREET,49000.0,4,1-7-33
1-7-35,1,7,35,2017,SONS OF THE REVOLUTIO,99 BROAD STREET,77250.0,4,1-7-35
1-7-35,1,7,35,2018,SONS OF THE REVOLUTIO,99 BROAD STREET,50900.0,4,1-7-35
1-7-37,1,7,37,2017,SONS OF THE REVOLUTIO,58 PEARL STREET,78150.0,4,1-7-37
1-7-37,1,7,37,2018,SONS OF THE REVOLUTIO,58 PEARL STREET,51700.0,4,1-7-37
1-9-14,1,9,14,2018,17 STATE OWNER LLC,17 STATE STREET,2406250.0,4,1-9-14
1-9-29,1,9,29,2018,THE STATE - WHITEHALL,24 STATE STREET,9528500.0,4,1-9-29
1-10-14,1,10,14,2018,BROAD FINANCIAL CENTE,33 WHITEHALL STREET,1755500.0,4,1-10-14
1-10-15,1,10,15,2018,MSA TWINS LTD,27 WHITEHALL STREET,92350.0,4,1-10-15
1-10-33,1,10,33,2018,AL STONE GROUND TENAN,8 STONE STREET,2158050.0,4,1-10-33
1-11-11,1,11,11,2018,VERVELIS INC.,22 BEAVER STREET,65150.0,4,1-11-11
1-11-12,1,11,12,2018,24 BEAVER STREET LLC,24 BEAVER STREET,124650.0,4,1-11-12
1-16-180,1,16,180,2018,RIVER TERRACE ASSOCIA,20 RIVER TERRACE,2407100.0,2,1-16-180
1-16-185,1,16,185,2018,NORTH END ASSOCIATES,211 NORTH END AVENUE,2185050.0,2,1-16-185
1-16-195,1,16,195,2018,"TRIBECA GREEN, L.L.C.",325 NORTH END AVENUE,988300.0,2,1-16-195
1-16-205,1,16,205,2018,BROOKDALE LIVING COMM,455 NORTH END AVENUE,3055450.0,2,1-16-205
1-16-1301,1,16,1301,2017,"GS SITE 25 HOTEL, LLC",102 NORTH END AVENUE,3258600.0,4,1-16-1301
1-16-1301,1,16,1301,2018,"GS SITE 25 HOTEL, LLC",102 NORTH END AVENUE,4113600.0,4,1-16-1301
1-16-2402,1,16,2402,2018,HUDSON VIEW WEST COND,300 ALBANY STREET,8141.0,2,1-16-2402
1-16-2602,1,16,2602,2018,LIBERTY TERRACE CONDO,380 RECTOR PLACE,29852.0,2,1-16-2602
1-16-3002,1,16,3002,2018,THE SOUNDINGS,280 RECTOR PLACE,4374.0,2,1-16-3002
1-16-8001,1,16,8001,2017,COVE CLUB CAR PARK LL,2 SOUTH END AVENUE,208900.0,4,1-16-8001
1-16-8001,1,16,8001,2018,COVE CLUB CAR PARK LL,2 SOUTH END AVENUE,299350.0,4,1-16-8001
1-18-1002,1,18,1002,2017,GREENWICH CLUB RESIDE,88 GREENWICH STREET,4083.0,2,1-18-1002
1-18-1002,1,18,1002,2018,GREENWICH CLUB RESIDE,88 GREENWICH STREET,4835.0,2,1-18-1002
1-19-21,1,19,21,2018,"11 RECTOR STREET,  LL",87 GREENWICH STREET,52400.0,4,1-19-21
1-20-9,1,20,9,2018,45 BROADWAY LLC,45 BROADWAY,1298750.0,4,1-20-9
1-20-13,1,20,13,2017,STAHL MIDTOWN PROPERT,49 BROADWAY,219400.0,4,1-20-13
1-20-13,1,20,13,2018,STAHL MIDTOWN PROPERT,49 BROADWAY,185600.0,4,1-20-13
1-21-1,1,21,1,2018,RXR 61 BROADWAY OWNER,61 BROADWAY,2825850.0,4,1-21-1
1-21-4,1,21,4,2017,65 BROADWAY OWNER LLC,65 BROADWAY,1304850.0,4,1-21-4
1-21-6,1,21,6,2018,"EQR - 71 BROADWAY, LL",71 BROADWAY,1162750.0,2,1-21-6
1-22-20,1,22,20,2018,"32-42 BROADWAY OWNER,",42 BROADWAY,1093800.0,4,1-22-20
1-25-10,1,25,10,2018,WALWILHAL ASSOCIATES,41 BROAD STREET,1366100.0,4,1-25-10
1-25-19,1,25,19,2018,25 BROAD STREET L/CAL,25 BROAD STREET,4231750.0,2,1-25-19
1-25-27,1,25,27,2018,40 X OWNER LLC,40 EXCHANGE PLACE,1331250.0,4,1-25-27
1-25-1722,1,25,1722,2018,15 WILLIAM PARKING LL,15 WILLIAM STREET,340300.0,4,1-25-1722
1-27-9,1,27,9,2018,"63 WALL STREET OWNER,",63 WALL STREET,1582150.0,2,1-27-9
1-27-1201,1,27,1201,2018,RBNB 20 OWNER LLC,20 EXCHANGE PLACE,7862700.0,2,1-27-1201
